date	county	state	fips	cases	deaths	fatality_rate	cases_fatality_est	recovered_est
			1000			0.020103391271886		0
2020-04-23	Autauga	Alabama	1001	33	2	0.053842500925355	37.145377083667	35.145377083667
2020-04-23	Baldwin	Alabama	1003	143	3	0.0201776652817258	148.679243020102	145.679243020102
2020-04-23	Barbour	Alabama	1005	30	0	0.0235117038682174	0	0
2020-04-23	Bibb	Alabama	1007	33	0	0.054851765177628	0	0
2020-04-23	Blount	Alabama	1009	31	0	0.022040231897707	0	0
2020-04-23	Bullock	Alabama	1011	12	0	0.0212418793450629	0	0
2020-04-23	Butler	Alabama	1013	19	0	0.0539204290134787	0	0
2020-04-23	Calhoun	Alabama	1015	88	3	0.0209278679544747	143.349528319178	140.349528319178
2020-04-23	Chambers	Alabama	1017	275	16	0.0225802797639675	708.582894775822	692.582894775822
2020-04-23	Cherokee	Alabama	1019	12	0	0.0509840719610994	0	0
2020-04-23	Chilton	Alabama	1021	47	1	0.0223377254887986	44.7673152981246	43.7673152981246
2020-04-23	Choctaw	Alabama	1023	22	0	0.0255381527669702	0	0
2020-04-23	Clarke	Alabama	1025	25	1	0.0535822262705719	18.6629050265725	17.6629050265725
2020-04-23	Clay	Alabama	1027	19	1	0.0201116601259399	49.7223995303205	48.7223995303205
2020-04-23	Cleburne	Alabama	1029	12	1	0.0215204107396133	46.4675145888023	45.4675145888023
2020-04-23	Coffee	Alabama	1031	80	1	0.0520531149925368	19.2111461560634	18.2111461560634
2020-04-23	Colbert	Alabama	1033	22	1	0.0200139060733295	49.9652589722402	48.9652589722402
2020-04-23	Conecuh	Alabama	1035	9	0	0.0258357776166344	0	0
2020-04-23	Coosa	Alabama	1037	28	1	0.054643743348653	18.300356796926	17.300356796926
2020-04-23	Covington	Alabama	1039	29	0	0.0213351722093557	0	0
2020-04-23	Crenshaw	Alabama	1041	8	0	0.0216966394780346	0	0
2020-04-23	Cullman	Alabama	1043	44	0	0.0526711477518179	0	0
2020-04-23	Dale	Alabama	1045	22	0	0.0220866349588853	0	0
2020-04-23	Dallas	Alabama	1047	29	2	0.0222036393345432	90.0753236830195	88.0753236830195
2020-04-23	DeKalb	Alabama	1049	61	2	0.0542983181743783	36.8335533630531	34.8335533630531
2020-04-23	Elmore	Alabama	1051	74	1	0.0204917367247945	48.8001584946201	47.8001584946201
2020-04-23	Escambia	Alabama	1053	21	1	0.0215812301777685	46.3365615288295	45.3365615288295
2020-04-23	Etowah	Alabama	1055	120	8	0.0528986812284823	151.232503612823	143.232503612823
2020-04-23	Fayette	Alabama	1057	4	0	0.0206294025240466	0	0
2020-04-23	Franklin	Alabama	1059	25	0	0.0204510246950482	0	0
2020-04-23	Geneva	Alabama	1061	6	0	0.0521412527906593	0	0
2020-04-23	Greene	Alabama	1063	41	0	0.0236851609123179	0	0
2020-04-23	Hale	Alabama	1065	37	0	0.0228595117142137	0	0
2020-04-23	Henry	Alabama	1067	22	0	0.0503958560562149	0	0
