fips	risk
1001	0.0475548
1003	0.0719402
1005	0.0569796
1007	0.0473998
1009	0.058385
1011	0.042643
1013	0.0591891
1015	0.0609665
1017	0.0619642
1019	0.0770808
1021	0.0503701
1023	0.0664577
1025	0.0558418
1027	0.0607643
1029	0.0560396
1031	0.0520448
1033	0.0671848
1035	0.0643551
1037	0.0700289
1039	0.0650885
1041	0.0532889
1043	0.0612726
1045	0.0527438
1047	0.0524378
1049	0.054056
1051	0.0480223
1053	0.0526563
1055	0.0671323
1057	0.0632977
1059	0.0491001
1061	0.0634953
1063	0.0620553
1065	0.0539885
1067	0.0716714
1069	0.060542
1071	0.0631891
1073	0.0577195
1075	0.0644166
1077	0.0711313
1079	0.0570572
1081	0.038826
1083	0.0494175
1085	0.0495254
1087	0.0628824
1089	0.0533934
1091	0.0545076
1093	0.0671261
1095	0.056007
1097	0.0563736
1099	0.0579398
1101	0.0510548
1103	0.0598198
1105	0.0514062
1107	0.05453
1109	0.0440184
1111	0.0628496
1113	0.0425641
1115	0.054209
1117	0.0516796
1119	0.0479503
1121	0.0593266
1123	0.0711689
1125	0.042162
1127	0.0628483
1129	0.0513617
1131	0.0502221
1133	0.0684164
2013	0.0303246
2016	0.0278389
2020	0.0717226
2050	0.018281
2060	0.0570422
2068	0.0271104
2070	0.0208193
2090	0.0504052
2100	0.0921451
2105	0.0722598
2110	0.0684601
2122	0.0793422
2130	0.0661271
2150	0.0374807
2158	0.0136607
2164	0.0157796
2170	0.0493409
2180	0.0185094
2185	0.0127047
2188	0.0145894
2195	0.07413
2198	0.0635054
2220	0.0680661
2230	0.0635734
2240	0.0370156
2261	0.0347424
2275	0.0877163
2282	0.0397519
2290	0.0199891
4001	0.0523306
4003	0.105716
4005	0.0445656
4007	0.143209
4009	0.0484848
4011	0.0420267
4012	0.208348
4013	0.0849098
4015	0.164409
4017	0.0707555
4019	0.107801
4021	0.108225
4023	0.0818973
4025	0.188746
4027	0.0872818
5001	0.072434
5003	0.0780325
5005	0.169648
5007	0.0583582
5009	0.0899467
5011	0.0682002
5013	0.076764
5015	0.102987
5017	0.0753452
5019	0.0632119
5021	0.0850267
5023	0.128838
5025	0.0773347
5027	0.0671503
5029	0.0793428
5031	0.0574364
5033	0.0700879
5035	0.0541693
5037	0.0714698
5039	0.0865027
5041	0.0666083
5043	0.064573
5045	0.0527455
5047	0.075431
5049	0.113105
5051	0.121646
5053	0.068757
5055	0.0644969
5057	0.0670104
5059	0.0798033
5061	0.0646818
5063	0.0694851
5065	0.113849
5067	0.069918
5069	0.0726182
5071	0.0623116
5073	0.0949218
5075	0.0776578
5077	0.07326
5079	0.0569274
5081	0.0826245
5083	0.0792411
5085	0.0518618
5087	0.070379
5089	0.134291
5091	0.0688958
5093	0.0545021
5095	0.0873602
5097	0.11127
5099	0.0751761
5101	0.104874
5103	0.082183
5105	0.0764087
5107	0.0711148
5109	0.0773339
5111	0.0680624
5113	0.0936786
5115	0.0643155
5117	0.0925159
5119	0.074664
5121	0.0777474
5123	0.0626721
5125	0.0804747
